Rank,Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,,,,,,
22,2023,49,25,24,0.51,73-68,0.518,721-716,0.502,18-16,0.529,49,0.843,0.161,0.119,0.051,0.638,0.758,0.515,0.67,0.327,0.501,0.99,,,,,,
22,2023,27,15,12,0.556,39-28,0.582,338-318,0.515,45385,0.571,26,0.806,0.229,0.101,0.061,0.585,0.755,0.474,0.639,0.374,0.505,1.03,,,,,,
22,2022,21,14,7,0.667,35-15,0.7,260-199,0.566,7-0,1,21,0.836,0.278,0.11,0.051,0.603,0.751,0.519,0.659,0.399,0.525,1.17,,,,,,
22,2021,37,19,18,0.514,52-45,0.536,500-476,0.512,45482,0.438,34,0.798,0.234,0.108,0.057,0.609,0.739,0.471,0.634,0.384,0.507,1.05,,,,,,
22,2020,23,16,7,0.696,37-17,0.685,287-232,0.553,45413,0.833,23,0.82,0.272,0.087,0.052,0.678,0.718,0.473,0.64,0.399,0.521,1.11,,,,,,
22,2019,58,37,21,0.638,92-58,0.613,798-666,0.545,14-15,0.483,56,0.815,0.268,0.081,0.047,0.654,0.714,0.503,0.641,0.39,0.517,1.08,,,,,,
22,2018,50,30,20,0.6,78-55,0.586,678-623,0.521,45575,0.5,48,0.805,0.228,0.094,0.053,0.663,0.717,0.496,0.643,0.369,0.506,1.03,,,,,,
22,2017,34,20,14,0.588,57-39,0.594,503-442,0.532,45544,0.5,34,0.807,0.26,0.104,0.046,0.624,0.723,0.504,0.641,0.388,0.513,1.08,,,,,,
22,2016,62,44,18,0.71,108-44,0.711,824-630,0.567,45548,0.591,61,0.846,0.287,0.11,0.037,0.639,0.747,0.516,0.664,0.397,0.529,1.18,,,,,,
22,2015,52,34,18,0.654,87-50,0.635,737-627,0.54,45584,0.655,51,0.844,0.223,0.109,0.037,0.641,0.736,0.517,0.657,0.378,0.518,1.1,,,,,,
22,2014,46,32,14,0.696,87-38,0.696,674-545,0.553,45632,0.667,42,0.82,0.268,0.104,0.051,0.641,0.73,0.502,0.648,0.396,0.519,1.13,,,,,,
22,2013,57,35,22,0.614,88-58,0.603,766-673,0.532,15-14,0.517,57,0.81,0.255,0.1,0.046,0.662,0.721,0.495,0.644,0.386,0.513,1.08,,,,,,
